,pair_id,similarity_alg,relation,scaled_similarity_worker,scaled_similarity_worker_docset
0,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0009-DN370863-2_Tender_DN370863-2,2,16,1.801326330314935,2.055297933995129
1,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0020-csw-jets_7167_Tender_csw-jets_7167,2,8,4.352741457451786,2.2383666934412965
2,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB283377_Tender_FEB283377,2,18,1.1876795929965533,1.2968053265491941
3,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,11,3.108406865937142,2.3423355186564683
4,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284875_Tender_FEB284875,2,7,1.1120601683302231,1.3191061644801758
5,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285287_Tender_FEB285287,2,13,2.535785604784291,2.776625376081397
6,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285418_Tender_FEB285418,1,26,3.169732005980363,2.330639164228687
7,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285503_Tender_FEB285503,1,25,1.668638036005838,1.831157339826528
8,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285545_Tender_FEB285545,1,27,0.757968106444189,1.2832850691704145
9,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB344622_Tender_FEB344622,2,9,3.9719222643668672,4.842945981314448
10,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN281673_Tender_JAN281673,2,14,4.828806137477177,4.364144999896963
11,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN342458_Tender_JAN342458,3,5,2.552024053752855,2.8228024666044282
12,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-MAR288703_Tender_MAR288703,3,1,1.4464678746908197,1.6760516302721618
